"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","AVOYELLES","009","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","3,935","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","AVOYELLES","009","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","16,417","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","CATAHOULA","025","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","15,611","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","CONCORDIA","029","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","10,339","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","EVANGELINE","039","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","735","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","EVANGELINE","039","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","735","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","POINTE COUPEE","077","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","4,309","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","POINTE COUPEE","077","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","8,996","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","RAPIDES","079","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","3,441","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","RAPIDES","079","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","11,011","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","SAINT LANDRY","097","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","1,538","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","SAINT LANDRY","097","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","8,557","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","EAST BATON ROUGE","033","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","EAST BATON ROUGE","033","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
